BADA3_AIRCRAFT_MAPPING;;;;
BADA3_TYPE;ICAO_CODE;USER_ACFT_ID;AIRFRAME;ENGINE
RV14__;INTG;;;
P28A__;IPAN;;;
SR20__;IR23;;;
TEX2__;IR25;;;
L39U__;IR99;;;
MAGC__;IRBS;;;
DIMO__;IS28;;;
EV97__;ISPT;;;
DR40__;J1;;;
F16U__;J10;;;
SVNH__;J2;;;
F15U__;J20;;;
SVNH__;J3;;;
SVNH__;J300;;;
E135__;J328;;;
C152__;J4;;;
C150__;J400;;;
SVNH__;J5;;;
C162__;J600;;;
F16U__;J8A;;;
F16U__;J8B;;;
MAGC__;JAB2;;;
C162__;JAB4;;;
EV97__;JABI;;;
F16U__;JAGR;;;
DIMO__;JANU;;;
L39U__;JAST;;;
C152__;JB15;;;
H25A__;JCOM;;;
P46T__;JCRU;;;
SVNH__;JFOX;;;
F16U__;JH7;;;
EV97__;JK05;;;
AJET__;JL9;;;
L39U__;JPRO;;;
C152__;JRC1;;;
D228__;JS1;;;
DIMO__;JS1J;;;
D228__;JS20;;;
DIMO__;JS2J;;;
DIMO__;JS2P;;;
D228__;JS3;;;
JS32__;JS31;;;
JS32__;JS32;;;
DIMO__;JS3J;;;
JS41__;JS41;;;
SF50__;JSQA;;;
RV8U__;JSX;;;
S2PU__;JU52;;;
C162__;JUNR;;;
K100__;K100;;;
K100__;K200;;;
C172__;K250;;;
B703__;K35A;;;
B703__;K35E;;;
B703__;K35R;;;
F16U__;K50;;;
L39U__;K8;;;
K100__;K900;;;
PA31__;KA26;;;
JS41__;KA27;;;
JS41__;KA52;;;
F16U__;KAAN;;;
K100__;KAT3;;;
C414__;KATB;;;
B703__;KC2;;;
A321__;KC39;;;
DC87__;KE3;;;
TBM9__;KEST;;;
F16U__;KF21;;;
MAGC__;KFAB;;;
MAGC__;KFAS;;;
F16U__;KFIR;;;
EV97__;KIS2;;;
DA40__;KIS4;;;
DV20__;KITH;;;
SF25__;KIWI;;;
C172__;KL07;;;
C150__;KL10;;;
SF25__;KL25;;;
C150__;KL35;;;
T206__;KM2;;;
K100__;KODI;;;
C162__;KP2;;;
C162__;KP5;;;
C340__;KR1;;;
RV8U__;KR2;;;
EV97__;KR30;;;
DV20__;KSTK;;;
TEX2__;KT1;;;
SVNH__;KTOO;;;
EV97__;KZ2;;;
DV20__;KZ3;;;
C188__;KZ4;;;
DV20__;KZ7;;;
C162__;KZ8;;;
HAWK__;KZLA;;;
PA46__;L10;;;
L101__;L101;;;
DA40__;L11E;;;
B58T__;L12;;;
DIMO__;L13S;;;
P38U__;L14;;;
AJET__;L15;;;
HAWK__;L159;;;
P38U__;L18;;;
T206__;L181;;;
AN12__;L188;;;
BE76__;L200;;;
L39U__;L29;;;
CL60__;L29A;;;
CL60__;L29B;;;
P38U__;L37;;;
L39U__;L39;;;
C150__;L4;;;
EV97__;L40;;;
L410__;L410;;;
EV97__;L5;;;
L39U__;L59;;;
DV20__;L6;;;
C188__;L60;;;
F27U__;L610;;;
DA40__;L70;;;
EV97__;L8;;;
E500__;L90;;;
C172__;LA25;;;
C172__;LA4;;;
T206__;LA60;;;
C188__;LA6T;;;
DA40__;LA8;;;
RV8U__;LAKR;;;
F27U__;LANC;;;
SF50__;LAR1;;;
C172__;LARK;;;
AJET__;LCA;;;
MAGC__;LCR;;;
BE36__;LEG2;;;
M20T__;LEGD;;;
LJ25__;LEOP;;;
M20T__;LESP;;;
T206__;LGEZ;;;
C162__;LGND;;;
RV8U__;LH10;;;
LJ25__;LJ23;;;
LJ25__;LJ24;;;
LJ25__;LJ25;;;
LJ25__;LJ28;;;
BE40__;LJ31;;;
